Dex	Name	Nom	Form	Type1	Type2	Total	HP	Attack	Defense	SpAtk	SpDef	Speed	Gen	Ether	Psycox	IconUrl	PokeApiIdentifier	Abilities	HiddenAbility	IsFullyEvolved	Category	SmogonTier
529	Drilbur	Rototaupe		Ground		328	60	85	40	30	45	68	5	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0529.png	drilbur	sand-rush,sand-force	mold-breaker	false	Normal	LC
530	Excadrill	Minotaupe		Ground	Steel	508	110	135	60	50	65	88	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0530.png	excadrill	sand-rush,sand-force	mold-breaker	true	Normal	UU
531	Audino	Nanméouïe		Normal		445	103	60	86	60	86	50	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0531.png	audino	healer,regenerator	klutz	true	Normal	Illegal
532	Timburr	Charpenti		Fighting		305	75	80	55	25	35	35	5	7	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0532.png	timburr	guts,sheer-force	iron-fist	false	Normal	LC
533	Gurdurr	Ouvrifier		Fighting		405	85	105	85	40	50	40	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0533.png	gurdurr	guts,sheer-force	iron-fist	false	Normal	NFE
534	Conkeldurr	Bétochef		Fighting		505	105	140	95	55	65	45	5	8	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0534.png	conkeldurr	guts,sheer-force	iron-fist	true	Normal	UU
535	Tympole	Tritonde		Water		294	50	50	40	50	40	64	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0535.png	tympole	swift-swim,hydration	water-absorb	false	Normal	Illegal
536	Palpitoad	Batracné		Water	Ground	384	75	65	55	65	55	69	5	2	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0536.png	palpitoad	swift-swim,hydration	water-absorb	false	Normal	Illegal
537	Seismitoad	Crapustule		Water	Ground	509	105	95	75	85	75	74	5	5	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0537.png	seismitoad	swift-swim,poison-touch	water-absorb	true	Normal	Illegal
538	Throh	Judokrak		Fighting		465	120	100	85	30	85	45	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0538.png	throh	guts,inner-focus	mold-breaker	true	Normal	Illegal
539	Sawk	Karaclée		Fighting		465	75	125	75	30	75	85	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0539.png	sawk	sturdy,inner-focus	mold-breaker	true	Normal	Illegal
540	Sewaddle	Larveyette		Bug	Grass	310	45	53	70	40	60	42	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0540.png	sewaddle	swarm,chlorophyll	overcoat	false	Normal	LC
541	Swadloon	Couverdure		Bug	Grass	380	55	63	90	50	80	42	5	4	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0541.png	swadloon	leaf-guard,chlorophyll	overcoat	false	Normal	NFE
542	Leavanny	Manternel		Bug	Grass	500	75	103	80	70	80	92	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0542.png	leavanny	swarm,chlorophyll	overcoat	true	Normal	ZU
543	Venipede	Venipatte		Bug	Poison	260	30	45	59	30	39	57	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0543.png	venipede	poison-point,swarm	speed-boost	false	Normal	Illegal
544	Whirlipede	Scobolide		Bug	Poison	360	40	55	99	40	79	47	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0544.png	whirlipede	poison-point,swarm	speed-boost	false	Normal	Illegal
545	Scolipede	Brutapode		Bug	Poison	485	60	100	89	55	69	112	5	6	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0545.png	scolipede	poison-point,swarm	speed-boost	true	Normal	Illegal
546	Cottonee	Doudouvet		Grass	Fairy	280	40	27	60	37	50	66	5	8	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0546.png	cottonee	prankster,infiltrator	chlorophyll	false	Normal	LC
547	Whimsicott	Farfaduvet		Grass	Fairy	480	60	67	85	77	75	116	5	10	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0547.png	whimsicott	prankster,infiltrator	chlorophyll	true	Normal	ZU
548	Petilil	Chlorobule		Grass		280	45	35	50	70	50	30	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0548.png	petilil	chlorophyll,own-tempo	leaf-guard	false	Normal	LC
549	Lilligant	Fragilady		Grass		480	70	60	75	110	75	90	5	10	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0549.png	lilligant	chlorophyll,own-tempo	leaf-guard	true	Normal	ZU
549	Lilligant	Fragilady	Hisuian Lilligant	Grass	Fighting	480	70	105	75	50	75	105	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0549_01.png	lilligant-hisui	chlorophyll,hustle	leaf-guard	true	Normal	NUBL
550	Basculin	Bargantua	Red-Striped Form	Water		460	70	92	65	80	55	98	5	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0550.png	basculin-red-striped	reckless,adaptability	mold-breaker	false	Normal	Unknown
551	Sandile	Mascaïman		Ground	Dark	292	50	72	35	35	35	65	5	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0551.png	sandile	intimidate,moxie	anger-point	false	Normal	LC
552	Krokorok	Escroco		Ground	Dark	351	60	82	45	45	45	74	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0552.png	krokorok	intimidate,moxie	anger-point	false	Normal	NFE
553	Krookodile	Crocorible		Ground	Dark	519	95	117	80	65	70	92	5	4	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0553.png	krookodile	intimidate,moxie	anger-point	true	Normal	RU
554	Darumaka	Darumarond		Fire		315	70	90	45	15	45	50	5	8	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0554.png	darumaka	hustle	inner-focus	false	Normal	Illegal
554	Darumaka	Darumarond	Galarian Darumaka	Ice		315	70	90	45	15	45	50	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0554_01.png	darumaka-galar	hustle	inner-focus	false	Normal	Illegal
555	Darmanitan	Darumacho	Standard Mode	Fire		480	105	140	55	30	55	95	5	9	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0555.png	darmanitan-standard	sheer-force	zen-mode	true	Normal	Unknown
555	Darmanitan	Darumacho	Galarian Standard Mode	Ice		480	105	140	55	30	55	95	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0555_01.png	darmanitan-galar-standard	gorilla-tactics	zen-mode	true	Normal	Unknown
556	Maractus	Maracachi		Grass		461	75	86	67	106	67	60	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0556.png	maractus	water-absorb,chlorophyll	storm-drain	true	Normal	Illegal
557	Dwebble	Crabicoque		Bug	Rock	325	50	65	85	35	35	55	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0557.png	dwebble	sturdy,shell-armor	weak-armor	false	Normal	Illegal
558	Crustle	Crabaraque		Bug	Rock	485	70	105	125	65	75	45	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0558.png	crustle	sturdy,shell-armor	weak-armor	true	Normal	Illegal
559	Scraggy	Baggiguane		Dark	Fighting	348	50	75	70	35	70	48	5	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0559.png	scraggy	shed-skin,moxie	intimidate	false	Normal	NFE
560	Scrafty	Baggaïd		Dark	Fighting	488	65	90	115	45	115	58	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0560.png	scrafty	shed-skin,moxie	intimidate	true	Normal	NU
561	Sigilyph	Cryptéro		Psychic	Flying	490	72	58	80	103	80	97	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0561.png	sigilyph	wonder-skin,magic-guard	tinted-lens	true	Normal	Illegal
562	Yamask	Tutafeh		Ghost		303	38	30	85	55	65	30	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0562.png	yamask	mummy		false	Normal	Illegal
562	Yamask	Tutafeh	Galarian Yamask	Ground	Ghost	303	38	55	85	30	65	30	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0562_01.png	yamask-galar	wandering-spirit		false	Normal	Illegal
563	Cofagrigus	Tutankafer		Ghost		483	58	50	145	95	105	30	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0563.png	cofagrigus	mummy		true	Normal	Illegal
564	Tirtouga	Carapagos		Water	Rock	355	54	78	103	53	45	22	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0564.png	tirtouga	solid-rock,sturdy	swift-swim	false	Normal	Illegal
565	Carracosta	Mégapagos		Water	Rock	495	74	108	133	83	65	32	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0565.png	carracosta	solid-rock,sturdy	swift-swim	true	Normal	Illegal
566	Archen	Arkéapti		Rock	Flying	401	55	112	45	74	45	70	5	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0566.png	archen	defeatist		false	Normal	Illegal
567	Archeops	Aéroptéryx		Rock	Flying	567	75	140	65	112	65	110	5	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0567.png	archeops	defeatist		true	Normal	Illegal
568	Trubbish	Miamiasme		Poison		329	50	50	62	40	62	65	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0568.png	trubbish	stench,sticky-hold	aftermath	false	Normal	Illegal
569	Garbodor	Miasmax		Poison		474	80	95	82	60	82	75	5	2	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0569.png	garbodor	stench,weak-armor	aftermath	true	Normal	Illegal
570	Zorua	Zorua		Dark		330	40	65	40	80	40	65	5	9	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0570.png	zorua	illusion		false	Normal	LC
570	Zorua	Zorua	Hisuian Zorua	Normal	Ghost	330	35	60	40	85	40	70	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0570_01.png	zorua-hisui	illusion		false	Normal	LC
571	Zoroark	Zoroark		Dark		510	60	105	60	120	60	105	5	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0571.png	zoroark	illusion		true	Normal	PU
571	Zoroark	Zoroark	Hisuian Zoroark	Normal	Ghost	510	55	100	60	125	60	110	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0571_01.png	zoroark-hisui	illusion		true	Normal	RUBL
572	Minccino	Chinchidou		Normal		300	55	50	40	40	40	75	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0572.png	minccino	cute-charm,technician	skill-link	false	Normal	LC
573	Cinccino	Pashmilla		Normal		470	75	95	60	65	60	115	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0573.png	cinccino	cute-charm,technician	skill-link	true	Normal	NU
574	Gothita	Scrutella		Psychic		290	45	30	50	55	65	45	5	2	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0574.png	gothita	frisk,competitive	shadow-tag	false	Normal	LC
575	Gothorita	Mesmérella		Psychic		390	60	45	70	75	85	55	5	3	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0575.png	gothorita	frisk,competitive	shadow-tag	false	Normal	NFE
576	Gothitelle	Sidérella		Psychic		490	70	55	95	95	110	65	5	2	0	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0576.png	gothitelle	frisk,competitive	shadow-tag	true	Normal	ZU
577	Solosis	Nucléos		Psychic		290	45	30	40	105	50	20	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0577.png	solosis	overcoat,magic-guard	regenerator	false	Normal	LC
578	Duosion	Méios		Psychic		370	65	40	50	125	60	30	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0578.png	duosion	overcoat,magic-guard	regenerator	false	Normal	NFE
579	Reuniclus	Symbios		Psychic		490	110	65	75	125	85	30	5	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0579.png	reuniclus	overcoat,magic-guard	regenerator	true	Normal	RU
580	Ducklett	Couaneton		Water	Flying	305	62	44	50	44	50	55	5	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0580.png	ducklett	keen-eye,big-pecks	hydration	false	Normal	LC
581	Swanna	Lakmécygne		Water	Flying	473	75	87	63	87	63	98	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0581.png	swanna	keen-eye,big-pecks	hydration	true	Normal	ZU
582	Vanillite	Sorbébé		Ice		305	36	50	50	65	60	44	5	1	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0582.png	vanillite	ice-body,snow-cloak	weak-armor	false	Normal	Illegal
583	Vanillish	Sorboul		Ice		395	51	65	65	80	75	59	5	1	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0583.png	vanillish	ice-body,snow-cloak	weak-armor	false	Normal	Illegal
584	Vanilluxe	Sorbouboul		Ice		535	71	95	85	110	95	79	5	1	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0584.png	vanilluxe	ice-body,snow-warning	weak-armor	true	Normal	Illegal
585	Deerling	Vivaldaim		Normal	Grass	335	60	60	50	40	50	75	5	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0585.png	deerling	chlorophyll,sap-sipper	serene-grace	false	Normal	LC
586	Sawsbuck	Haydaim		Normal	Grass	475	80	100	70	60	70	95	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0586.png	sawsbuck	chlorophyll,sap-sipper	serene-grace	true	Normal	ZU
587	Emolga	Emolga		Electric	Flying	428	55	75	60	75	60	103	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0587.png	emolga	static	motor-drive	true	Normal	Illegal
588	Karrablast	Carabing		Bug		315	50	75	45	40	45	60	5	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0588.png	karrablast	swarm,shed-skin	no-guard	false	Normal	Illegal
589	Escavalier	Lançargot		Bug	Steel	495	70	135	105	60	105	20	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0589.png	escavalier	swarm,shell-armor	overcoat	true	Normal	Illegal
590	Foongus	Trompignon		Grass	Poison	294	69	55	45	55	55	15	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0590.png	foongus	effect-spore	regenerator	false	Normal	LC
591	Amoonguss	Gaulet		Grass	Poison	464	114	85	70	85	80	30	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0591.png	amoonguss	effect-spore	regenerator	true	Normal	PU
592	Frillish	Viskuse		Water	Ghost	335	55	40	50	65	85	40	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0592.png	frillish	water-absorb,cursed-body	damp	false	Normal	Illegal
593	Jellicent	Moyade		Water	Ghost	480	100	60	70	85	105	60	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0593.png	jellicent	water-absorb,cursed-body	damp	true	Normal	Illegal
594	Alomomola	Mamanbo		Water		470	165	75	80	40	45	65	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0594.png	alomomola	healer,hydration	regenerator	true	Normal	OU
595	Joltik	Statitik		Bug	Electric	319	50	47	50	57	50	65	5	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0595.png	joltik	compound-eyes,unnerve	swarm	false	Normal	LC
596	Galvantula	Mygavolt		Bug	Electric	472	70	77	60	97	60	108	5	9	10	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0596.png	galvantula	compound-eyes,unnerve	swarm	true	Normal	NU
597	Ferroseed	Grindur		Grass	Steel	305	44	50	91	24	86	10	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0597.png	ferroseed	iron-barbs		false	Normal	Illegal
598	Ferrothorn	Noacier		Grass	Steel	489	74	94	131	54	116	20	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0598.png	ferrothorn	iron-barbs	anticipation	true	Normal	Illegal
599	Klink	Tic		Steel		300	40	55	70	45	60	30	5	1	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0599.png	klink	plus,minus	clear-body	false	Normal	Illegal
600	Klang	Clic		Steel		440	60	80	95	70	85	50	5	1	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0600.png	klang	plus,minus	clear-body	false	Normal	Illegal
601	Klinklang	Cliticlic		Steel		520	60	100	115	70	85	90	5	1	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0601.png	klinklang	plus,minus	clear-body	true	Normal	Illegal
602	Tynamo	Anchwatt		Electric		275	35	55	40	45	40	60	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0602.png	tynamo	levitate		false	Normal	LC
603	Eelektrik	Lampéroie		Electric		405	65	85	70	75	70	40	5	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0603.png	eelektrik	levitate		false	Normal	NFE
604	Eelektross	Ohmassacre		Electric		515	85	115	80	105	80	50	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0604.png	eelektross	levitate		true	Normal	ZU
605	Elgyem	Lewsor		Psychic		335	55	55	55	85	55	30	5	1	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0605.png	elgyem	telepathy,synchronize	analytic	false	Normal	Illegal
606	Beheeyem	Neitram		Psychic		485	75	75	75	125	95	40	5	1	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0606.png	beheeyem	telepathy,synchronize	analytic	true	Normal	Illegal
607	Litwick	Funécire		Ghost	Fire	275	50	30	55	65	55	20	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0607.png	litwick	flash-fire,flame-body	infiltrator	false	Normal	LC
608	Lampent	Mélancolux		Ghost	Fire	370	60	40	60	95	60	55	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0608.png	lampent	flash-fire,flame-body	infiltrator	false	Normal	NFE
609	Chandelure	Lugulabre		Ghost	Fire	520	60	55	90	145	90	80	5	8	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0609.png	chandelure	flash-fire,flame-body	infiltrator	true	Normal	NU
610	Axew	Coupenotte		Dragon		320	46	87	60	30	40	57	5	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0610.png	axew	rivalry,mold-breaker	unnerve	false	Normal	LC
611	Fraxure	Incisache		Dragon		410	66	117	70	40	50	67	5	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0611.png	fraxure	rivalry,mold-breaker	unnerve	false	Normal	NFE
612	Haxorus	Tranchodon		Dragon		540	76	147	90	60	70	97	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0612.png	haxorus	rivalry,mold-breaker	unnerve	true	Normal	RUBL
613	Cubchoo	Polarhume		Ice		305	55	70	40	60	40	40	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0613.png	cubchoo	snow-cloak,slush-rush	rattled	false	Normal	LC
614	Beartic	Polagriffe		Ice		505	95	130	80	70	80	50	5	4	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0614.png	beartic	snow-cloak,slush-rush	swift-swim	true	Normal	ZU
615	Cryogonal	Hexagel		Ice		515	80	50	50	95	135	105	5	1	1	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0615.png	cryogonal	levitate		true	Normal	ZU
616	Shelmet	Escargaume		Bug		305	50	40	85	40	65	25	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0616.png	shelmet	hydration,shell-armor	overcoat	false	Normal	Illegal
617	Accelgor	Limaspeed		Bug		495	80	70	40	100	60	145	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0617.png	accelgor	hydration,sticky-hold	unburden	true	Normal	Illegal
618	Stunfisk	Limonde		Ground	Electric	471	109	66	84	81	99	32	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0618.png	stunfisk	static,limber	sand-veil	true	Normal	Illegal
618	Stunfisk	Limonde	Galarian Stunfisk	Ground	Steel	471	109	81	99	66	84	32	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0618_01.png	stunfisk-galar	mimicry		true	Normal	Illegal
619	Mienfoo	Kungfouine		Fighting		350	45	85	50	55	50	65	5	6	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0619.png	mienfoo	inner-focus,regenerator	reckless	false	Normal	LC
620	Mienshao	Shaofouine		Fighting		510	65	125	60	95	60	105	5	7	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0620.png	mienshao	inner-focus,regenerator	reckless	true	Normal	NUBL
621	Druddigon	Drakkarmin		Dragon		485	77	120	90	60	90	48	5	4	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0621.png	druddigon	rough-skin,sheer-force	mold-breaker	true	Normal	Illegal
622	Golett	Gringolem		Ground	Ghost	303	59	74	50	35	50	35	5	6	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0622.png	golett	iron-fist,klutz	no-guard	false	Normal	LC
623	Golurk	Golemastoc		Ground	Ghost	483	89	124	80	55	80	55	5	6	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0623.png	golurk	iron-fist,klutz	no-guard	true	Normal	PU
624	Pawniard	Scalpion		Dark	Steel	340	45	85	70	40	40	60	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0624.png	pawniard	defiant,inner-focus	pressure	false	Normal	LC
625	Bisharp	Scalproie		Dark	Steel	490	65	125	100	60	70	70	5	5	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0625.png	bisharp	defiant,inner-focus	pressure	false	Normal	RU
626	Bouffalant	Frison		Normal		490	95	110	95	40	95	55	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0626.png	bouffalant	reckless,sap-sipper	soundproof	true	Normal	Illegal
627	Rufflet	Furaiglon		Normal	Flying	350	70	83	50	37	50	60	5	5	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0627.png	rufflet	keen-eye,sheer-force	hustle	false	Normal	NFE
628	Braviary	Gueriaigle		Normal	Flying	510	100	123	75	57	75	80	5	3	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0628.png	braviary	keen-eye,sheer-force	defiant	true	Normal	NU
628	Braviary	Gueriaigle	Hisuian Braviary	Psychic	Flying	510	110	83	70	112	70	65	8			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0628_01.png	braviary-hisui	keen-eye,sheer-force	tinted-lens	true	Normal	PU
629	Vullaby	Vostourno		Dark	Flying	370	70	55	75	45	65	60	5	2	2	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0629.png	vullaby	big-pecks,overcoat	weak-armor	false	Normal	LC
630	Mandibuzz	Vaututrice		Dark	Flying	510	110	65	105	55	95	80	5	2	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0630.png	mandibuzz	big-pecks,overcoat	weak-armor	true	Normal	UU
631	Heatmor	Aflamanoir		Fire		484	85	97	66	105	66	65	5	3	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0631.png	heatmor	gluttony,flash-fire	white-smoke	true	Normal	Illegal
632	Durant	Fermite		Bug	Steel	484	58	109	112	48	48	109	5	3	7	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0632.png	durant	swarm,hustle	truant	true	Normal	Illegal
633	Deino	Solochi		Dark	Dragon	300	52	65	50	45	50	38	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0633.png	deino	hustle		false	Normal	LC
634	Zweilous	Diamat		Dark	Dragon	420	72	85	70	65	70	58	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0634.png	zweilous	hustle		false	Normal	NFE
635	Hydreigon	Trioxhydre		Dark	Dragon	600	92	105	90	125	90	98	5	7	8	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0635.png	hydreigon	levitate		true	Normal	RUBL
636	Larvesta	Pyronille		Bug	Fire	360	55	85	55	50	55	60	5	7	6	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0636.png	larvesta	flame-body	swarm	false	Normal	LC
637	Volcarona	Pyrax		Bug	Fire	550	85	60	65	135	105	100	5	10	9	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0637.png	volcarona	flame-body	swarm	true	Normal	Uber
638	Cobalion	Cobaltium		Steel	Fighting	580	91	90	129	90	72	108	5	6	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0638.png	cobalion	justified		true	Legendary	UU
639	Terrakion	Terrakium		Rock	Fighting	580	91	129	90	72	90	108	5	4	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0639.png	terrakion	justified		true	Legendary	RU
640	Virizion	Viridium		Grass	Fighting	580	91	90	72	90	129	108	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0640.png	virizion	justified		true	Legendary	ZU
641	Tornadus	Boréas	Incarnate Forme	Flying		580	79	115	70	125	80	111	5	2	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0641.png	tornadus-incarnate	prankster	defiant	true	Legendary	Unknown
641	Tornadus	Boréas	Therian Forme	Flying		580	79	100	80	110	90	121	5			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0641_01.png	tornadus-therian	regenerator		true	Legendary	UU
642	Thundurus	Fulguris	Incarnate Forme	Electric	Flying	580	79	115	70	125	80	111	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0642.png	thundurus-incarnate	prankster	defiant	true	Legendary	Unknown
642	Thundurus	Fulguris	Therian Forme	Electric	Flying	580	79	105	70	145	80	101	5			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0642_01.png	thundurus-therian	volt-absorb		true	Legendary	UU
643	Reshiram	Reshiram		Dragon	Fire	680	100	120	100	150	120	90	5	8	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0643.png	reshiram	turboblaze		true	Legendary	Uber
644	Zekrom	Zekrom		Dragon	Electric	680	100	150	120	120	100	90	5	7	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0644.png	zekrom	teravolt		true	Legendary	Uber
645	Landorus	Démétéros	Incarnate Forme	Ground	Flying	600	89	125	90	115	80	101	5	4	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0645.png	landorus-incarnate	sand-force	sheer-force	true	Legendary	Unknown
645	Landorus	Démétéros	Therian Forme	Ground	Flying	600	89	145	90	105	80	91	5			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0645_01.png	landorus-therian	intimidate		true	Legendary	OU
646	Kyurem	Kyurem		Dragon	Ice	660	125	130	90	130	90	95	5	1	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0646.png	kyurem	pressure		true	Legendary	OU
646	Kyurem	Kyurem	White Kyurem	Dragon	Ice	700	125	120	90	170	100	95	5			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0646_01.png	kyurem-white	turboblaze		true	Legendary	Uber
646	Kyurem	Kyurem	Black Kyurem	Dragon	Ice	700	125	170	100	120	90	95	5			https://projectpokemon.org/images/sprites-models/sv-sprites-home/0646_02.png	kyurem-black	teravolt		true	Legendary	Uber
647	Keldeo	Keldeo	Ordinary Form	Water	Fighting	580	91	72	90	129	90	108	5	7	3	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0647.png	keldeo-ordinary	justified		true	Mythical	Unknown
648	Meloetta	Meloetta	Aria Forme	Normal	Psychic	600	100	77	77	128	128	90	5	7	4	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0648.png	meloetta-aria	serene-grace		true	Mythical	Unknown
649	Genesect	Genesect		Bug	Steel	600	71	120	95	120	95	99	5	5	5	https://projectpokemon.org/images/sprites-models/sv-sprites-home/0649.png	genesect	download		true	Mythical	Illegal
